"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAŁASIK Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"DUDEK Jacek Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"SEKUŁA Joanna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
95;"Zespół Szkół Ogólnokształcących Nr 11, ul. Skwerowa 21, 41-217 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;119;323;563
96;"Przedszkole Miejskie Nr 57, ul. Gospodarcza 63, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;117;260;519
97;"Szkoła Podstawowa Nr 15, ul. Wojska Polskiego 84, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;84;139;290
98;"Zespół Szkół Nr 2 w Sosnowcu (dawna Szkoła Podstawowa Nr 42), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;138;353;503
99;"Zespół Szkół Ogólnokształcących nr 5 z Oddziałami Integracyjnymi i Specjalnymi, ul. Bohaterów Monte Cassino 46, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;104;275;405
100;"Dom Pomocy Społecznej Nr 1, ul. gen. Władysława Andersa 81b, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;5;19;16
101;"Sosnowiecki Szpital Miejski Sp. z o. o., ul. Emila Zegadłowicza 3, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;13;39;48
102;"Dom Pomocy Społecznej Nr 2, ul. Jagiellońska 2, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;4;12;24
103;"Sosnowiecki Szpital Miejski Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;0;1;3
104;"Wojewódzki Szpital Specjalistyczny Nr 5 im. św. Barbary w Sosnowcu, pl. Medyków 1, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;15;49;66
105;"Centrum Profilaktyki Leczenia i Opieki MEDICO NZOZ Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;0;6;3
106;"Areszt Śledczy w Sosnowcu, ul. Radocha 25, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;27;37;178
107;"Ośrodek Opiekuńczy dla Bezdomnych, ul. Piotrkowska 19, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;6;8;4
