"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Manuela Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"MIKOŁAJCZYK Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIECHOWIAK Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATECKA Ewa Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
21;"Ostrowski Zakład Ciepłowniczy S. A., ul. Wysocka 57, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;85;351;85;715
22;"Przedszkole Nr 15, ul. Szkolna 26, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;43;221;37;314
23;"Szkoła Podstawowa Nr 13, ul. Świetlicowa 9, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;55;295;98;568
24;"Szkoła Podstawowa Nr 13, ul. Świetlicowa 9, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;86;337;115;622
25;"Świetlica Osiedlowa, ul. Truskawkowa 4, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;79;303;81;553
26;"Szkoła Podstawowa Nr 6, ul. Staroprzygodzka 112, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;95;437;116;722
27;"Przedszkole Nr 2, ul. Staroprzygodzka 52, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;102;437;141;1054
28;"Świetlica osiedlowa, ul. Kręta 52, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;117;471;147;1016
29;"Hala Sportowa przy Szkole Podstawowej Nr 7, ul. Bema 30, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;83;299;97;573
30;"Hala Sportowa przy Szkole Podstawowej Nr 7, ul. Bema 30, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;52;187;57;429
31;"Szkoła Podstawowa Nr 7, ul. Bema 30, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;55;319;74;610
32;"Hala Sportowa przy Szkole Podstawowej Nr 7, ul. Bema 30, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;41;269;53;545
33;"Szkoła Podstawowa Nr 14, ul. Krotoszyńska 171, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;89;399;122;694
34;"Przedszkole Nr 14, ul. Piotra Bardowskiego 6, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;67;284;83;667
35;"Szkoła Podstawowa Nr 11, ul. Batorego 2, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;71;344;96;606
36;"Szkoła Podstawowa Nr 11, ul. Batorego 2, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;71;312;62;624
37;"Szkoła Podstawowa Nr 2 im. „Ewarysta Estkowskiego”, ul. Wrocławska 51, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;86;371;100;738
38;"Zespół Szkół Transportowo-Elektrycznych, ul. Kantaka 6, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;77;393;77;715
39;"Przedszkole Nr 7, ul. Piastowska 21, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;89;352;105;738
40;"Zespół Zakładów Opieki Zdrowotnej w Ostrowie Wielkopolskim, ul. Bolesława Limanowskiego 20/22, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;7;53;8;36
41;"Areszt Śledczy w Ostrowie Wielkopolskim, ul. Kardynała M. Ledóchowskiego 1, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;12;27;31;83
42;"Dom Pomocy Społecznej im. s. M. Benodyny Koterbianki w Ostrowie Wielkopolskim, ul. Staroprzygodzka 19, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;2;27;2;14
43;"Zespół Zakładów Opieki Zdrowotnej w Ostrowie Wielkopolskim Oddziały przy ul. 3. Maja, ul. 3 Maja 35, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;2;1;0;3
1;"Szkoła Podstawowa, ul. Kaliska 52, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;128;422;126;671
2;"Szkoła Podstawowa, ul. Okólna 8, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;89;385;106;626
3;"Szkoła Podstawowa, Skalmierzyce ul. Ostrowska 16, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;113;469;126;613
4;"Szkoła Podstawowa, Skalmierzyce ul. Ostrowska 16, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;99;262;100;515
5;"Szkoła Podstawowa, Biskupice Ołoboczne ul. Szkolna 7, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;59;306;75;132
6;"Szkoła Podstawowa, Fabianów ul. Szkolna 56, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;78;258;77;294
7;"Szkoła Podstawowa, Kotowiecko ul. Kaliska 4, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;25;135;44;98
8;"Szkoła Podstawowa, Droszew 21, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;74;335;100;245
9;"Szkoła Podstawowa, Gostyczyna 48, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;59;253;32;113
10;"Świetlica wiejska, Boczków ul. Strażacka 4, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;43;166;30;82
11;"Świetlica wiejska, Leziona 48, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;16;107;23;41
12;"Świetlica wiejska, Śmiłów ul. Nowa 4A, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;21;133;26;54
13;"Świetlica wiejska, Węgry ul. Bursztynowa 9, 63-460 Nowe Skalmierzyce";301702;"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";1;1;19;92;21;47
1;"Odolanowski Dom Kultury, ul. Bartosza 7, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;45;277;66;236
2;"Przedszkole im. Kubusia Puchatka, pl. Plac Kościuszki 4, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;23;137;32;171
3;"Świetlica Osiedlowa, ul. Kaliska 58a, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;37;181;37;139
4;"Liceum Ogólnokształcące, ul. Krotoszyńska 121, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;47;228;85;275
5;"Gminno-Miejskie Centrum Pomocy „Wiara-Nadzieja-Miłość”, ul. Raszkowska 36, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;41;200;46;234
6;"Zespół Szkół w Odolanowie, al. Jana Pawła II 1, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;18;106;32;168
7;"Szkoła Podstawowa, Huta 63a, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;15;197;39;87
8;"Szkoła Podstawowa, Świeca ul. Szkolna 5, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;35;315;51;121
9;"Szkoła Podstawowa, Garki ul. Szkolna 2, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;33;214;46;85
10;"Szkoła Podstawowa, Tarchały Wielkie ul. Szkolna 69, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;65;376;82;237
11;"Szkoła Podstawowa, Raczyce ul. Odolanowska 80, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;46;373;78;185
12;"Szkoła Podstawowa, Uciechów ul. Odolanowska 38, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;56;274;67;166
13;"Szkoła Filialna, Gorzyce Małe 43, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;24;151;40;83
14;"Szkoła Podstawowa, Nabyszyce 12, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;16;183;41;66
15;"Szkoła Filialna, Gliśnica ul. Odolanowska 25, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;38;145;49;105
16;"Szkoła Podstawowa, Wierzbno ul. Szkolna 4, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;25;225;42;135
17;"Sala wiejska, Nadstawki 19b, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;7;49;10;26
18;"Sala w Remizie OSP, Boników ul. Długa 4, 63-430 Odolanów";301703;"gm. Odolanów";"ostrowski";"wielkopolskie";1;1;29;168;34;80
1;"Szkoła Podstawowa, Daniszyn 35, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;49;239;55;115
2;"Szkoła Podstawowa w Lamkach, Lamki ul. Szkolna 47, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;50;249;63;220
3;"Szkoła Podstawowa w Gorzycach Wielkich, Gorzyce Wielkie ul. Szkolna 31, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;129;565;228;632
4;"Zespół Szkolno-Przedszkolny w Topoli Małej, Topola Mała ul. Szkolna 115, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;55;230;75;321
5;"Zespół Szkolno-Przedszkolny w Wysocku Wielkim, Wysocko Wielkie ul. Sadowska 2, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;49;255;68;301
6;"Zespół Szkolno-Przedszkolny we Wtórku, Wtórek ul. Szkolna 12, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;61;303;99;374
7;"Szkoła Podstawowa, Franklinów 43A, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;29;150;39;156
8;"Szkoła Podstawowa w Lewkowie, Lewków ul. Szkolna 6, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;71;223;80;307
9;"Szkoła Podstawowa, Szczury 38, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;33;173;45;144
10;"Przedszkole Publiczne, Biniew 25, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;48;226;43;164
11;"Szkoła Podstawowa w Sobótce, Sobótka 72, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;37;188;50;140
12;"Przedszkole Publiczne, Czekanów ul. Szkolna 6, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;42;190;54;257
13;"Szkoła Podstawowa, Łąkociny ul. Szkolna 14, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;37;195;51;168
14;"Świetlica wiejska, Cegły 35C, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;8;61;12;34
15;"Świetlica wiejska, Chruszczyny 56, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;13;81;14;25
16;"Świetlica wiejska, Świeligów 14, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;10;89;20;65
17;"Świetlica wiejska, Zacharzew ul. Rajska 60A, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;30;117;44;239
18;"Świetlica wiejska, Nowe Kamienice 41, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;12;54;13;64
19;"Świetlica wiejska, Sadowie 47D, 63-400 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;25;113;25;68
20;"Świetlica wiejska, Kwiatków 34, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;12;63;15;59
21;"Świetlica wiejska, Słaborowice 38A, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;17;84;17;82
22;"Świetlica wiejska, Borowiec 6, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;8;77;41;56
23;"Świetlica wiejska, Gutów 12B, 63-450 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;15;69;18;42
24;"Świetlica wiejska, Karski ul. Środkowa 16, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;24;105;41;163
25;"Świetlica wiejska, Kołątajew 31A, 63-410 Ostrów Wielkopolski";301704;"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;25;156;39;175
1;"Szkoła Podstawowa im. Kard. Karola Wojtyły w Chynowej, Chynowa 70A, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;33;314;60;120
2;"Szkoła Podstawowa w Czarnymlesie, Czarnylas ul. Odolanowska 42, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;54;217;62;212
3;"Zespół Szkół w Dębnicy, Dębnica ul. Ostrowska 140, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;49;311;77;232
4;"Szkoła Podstawowa im. Powstańców Wielkopolskich w Jankowie Przygodzkim, Janków Przygodzki ul. Szkolna 4, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;97;444;113;554
5;"Szkoła Podstawowa w Przygodzicach, ul. Wysocka 2, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;111;442;127;701
6;"Szkoła Podstawowa im. Mikołaja Kopernika w Wysocku Małym, Wysocko Małe ul. Kościelna 22, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;73;322;105;458
7;"Sala wiejska, Antonin ul. Krótka 4, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;17;61;32;120
8;"Dom Ludowy, Topola-Osiedle ul. Dworcowa 34, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;39;246;63;268
9;"Sala wiejska, Bogufałów 7D, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;15;70;21;36
10;"Sala wiejska, Przygodziczki 49A, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;13;129;26;54
11;"Sala wiejska, Topola Wielka 64, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;23;156;28;129
12;"Sala wiejska, Ludwików ul. Szkolna 15, 63-421 Przygodzice";301705;"gm. Przygodzice";"ostrowski";"wielkopolskie";1;1;9;70;13;63
1;"Świetlica Wiejska, Grudzielec Nowy 31, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;30;171;44;121
2;"Szkoła Podstawowa im. Powstania Wielkopolskiego w Jankowie Zaleśnym, Janków Zaleśny 77, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;21;252;24;72
3;"Świetlica Wiejska, Ligota ul. Krotoszyńska 2, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;34;265;38;86
4;"Hala widowiskowo-sportowa przy Szkole Podstawowej im. Arkadego Fiedlera i Armii Krajowej w Raszkowie z siedzibą w Pogrzybowie, Pogrzybów 1A, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;146;487;123;516
5;"Świetlica Wiejska, Moszczanka 68, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;44;174;50;179
6;"Miejsko-Gminny Ośrodek Pomocy Społecznej, Przybysławice 42, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;65;312;57;253
7;"Szkoła Podstawowa im. św. Jana Pawła II w Radłowie, Radłów ul. Wiejska 52, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;70;360;92;438
8;"Sala Wiejska, Koryta 66B, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;16;114;20;48
9;"Sala Wiejska, Korytnica 25A, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;24;151;34;99
10;"Sala Wiejska, Głogowa 18A, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;20;85;23;67
11;"Szkoła Podstawowa im. Danuty Siedzikówny ps. „Inka” w Bieganinie, Bieganin 27, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;21;96;28;47
12;"Sala Wiejska, Szczurawice 17, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;14;91;22;71
13;"Sala Wiejska, Walentynów 28A, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;10;59;16;39
14;"Sala Wiejska, Jaskółki 69, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;32;142;29;125
15;"Sala Wiejska, Rąbczyn 35, 63-440 Raszków";301706;"gm. Raszków";"ostrowski";"wielkopolskie";1;1;14;112;26;96
1;"Szkoła Podstawowa, Zamość 14, 63-520 Grabów nad Prosną";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;44;158;30;49
2;"Szkoła Podstawowa, Ołobok ul. Kościelna 16, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;32;183;48;90
3;"Szkoła Podstawowa, Westrza 4, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;14;104;19;44
4;"Szkoła Podstawowa, ul. Szkolna 9, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;92;233;94;320
5;"Szkoła Podstawowa, Strzyżew ul. Anny Wiesiołowskiej 1, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;43;298;53;152
6;"Szkoła Podstawowa, Wielowieś ul. Grabowska 2, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;59;319;85;165
7;"Szkoła Podstawowa, Rososzyca ul. Kaliska 3, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;39;231;63;178
8;"Sala wiejska, Sławin 36 A, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;17;86;25;36
9;"Sala wiejska, Parczew 88, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;42;145;50;185
10;"Dzienny Dom „Senior+”, Latowice ul. Szkolna 5, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;36;166;51;138
11;"Szkoła Podstawowa, Masanów ul. Lipowa 40, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;48;249;43;105
12;"Sala wiejska, Psary ul. Środkowa 33, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;22;115;36;139
13;"Dom Pomocy Społecznej w Psarach, Psary ul. Kaliska 3, 63-405 Sieroszewice";301707;"gm. Sieroszewice";"ostrowski";"wielkopolskie";1;1;5;16;2;7
1;"Zespół Szkół w Sośniach, ul. Wielkopolska 43, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;68;421;115;324
2;"Szkoła Filialna w Bogdaju, Bogdaj 15, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;28;195;54;99
3;"Zespół Szkół w Cieszynie, Cieszyn ul. Kościelna 17, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;36;201;50;190
4;"Zespół Szkół w Pawłowie, Pawłów 3, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;18;123;42;71
5;"Zespół Szkół w Granowcu, Granowiec ul. Odolanowska 19, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;30;394;94;177
6;"Przedszkole w Chojniku, Chojnik 55, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;30;87;31;80
7;"Świetlica wiejska, Janisławice 21A, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;17;84;39;38
8;"Świetlica wiejska, Kocina 23, 63-435 Sośnie";301708;"gm. Sośnie";"ostrowski";"wielkopolskie";1;1;10;52;21;33
1;"Zespół Szkół w Czajkowie, Szkoła Podstawowa w Czajkowie, Czajków 55/1, 63-524 Czajków";301801;"gm. Czajków";"ostrzeszowski";"wielkopolskie";1;1;100;443;111;290
2;"Komunalny budynek po zlikwidowanej Szkole Filialnej w Mielcuchach, Mielcuchy 61, 63-524 Czajków";301801;"gm. Czajków";"ostrzeszowski";"wielkopolskie";1;1;47;262;45;135
1;"Hala Sportowa w Doruchowie, ul. Szkolna 1a, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;128;424;100;480
2;"Sala Świetlicy Wiejskiej, Wrzosy 5, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;41;101;45;86
3;"Sala Domu Ludowego, Morawin 8, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;35;207;76;32
4;"Sala Domu Ludowego, Godziętowy 1a, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;22;100;21;44
5;"Sala Domu Ludowego, Torzeniec 55, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;26;170;32;79
6;"Sala Świetlicy Wiejskiej, Stara Kuźnica 27A, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;17;79;29;74
7;"Sala Świetlicy Wiejskiej, Przytocznica 17, 63-505 Doruchów";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;27;86;7;67
8;"Sala OSP w Tokarzewie, Tokarzew 28, 63-505 Tokarzew";301802;"gm. Doruchów";"ostrzeszowski";"wielkopolskie";1;1;15;70;16;39
1;"Szkoła Podstawowa im. UNICEF w Grabowie nad Prosną, ul. Przemysłowa 1a, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;101;342;117;550
2;"Szkoła Podstawowa w Marszałkach, Marszałki 30, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;29;142;58;93
3;"Szkoła Podstawowa, Bobrowniki 25, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;37;149;43;84
4;"Szkoła Podstawowa im. Jana Pawła II w Bukownicy, Bukownica 39, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;50;195;38;147
5;"Sala OSP, Dębicze 35, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;13;100;24;76
6;"Sala OSP, Giżyce 54, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;11;62;23;82
7;"Sala OSP, Chlewo 21b, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;9;88;23;45
8;"Budynek komunalny, Skrzynki 82, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;26;106;30;99
9;"Szkoła Podstawowa im. UNICEF w Grabowie nad Prosną, ul. Szkolna 1, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;24;63;19;47
10;"Sala OSP, Grabów-Wójtostwo 27, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;42;128;55;115
11;"Świetlica Środowiskowa, Książenice ul. Dożynkowa 1B, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;36;114;46;157
12;"Sala OSP, Palaty ul. Leśna 21, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;41;132;35;100
13;"Dom Pomocy Społecznej w Marszałkach, Marszałki 15, 63-520 Grabów nad Prosną";301803;"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";1;1;10;30;9;8
1;"budynek Przedszkola, pl. Plac Wiosny Ludów 24, 63-507 Kobyla Góra";301804;"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";1;1;85;299;136;567
