"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
8;"IV Liceum Ogólnokształcące im. Mikołaja Reja, ul. gen. Władysława Andersa 64, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;740;431;169
9;"Szkoła Podstawowa Nr 29, ul. Budowlana 26, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;493;318;108
10;"Szkoła Podstawowa Nr 29, ul. Budowlana 26, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;480;334;122
11;"Szkoła Podstawowa Nr 28 im. Miłośników Rokitnicy, ul. Ireny Kosmowskiej 43, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;383;307;118
12;"Zespół Szkolno-Przedszkolny Nr 8, ul. ks. Jerzego Badestinusa 30, 41-814 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;739;453;138
13;"Szkoła Podstawowa Nr 24 im. Norberta Kroczka, ul. Tarnopolska 85, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;622;354;150
14;"Zespół Szkół Nr 10 im. prof. Janusza Groszkowskiego, ul. Fryderyka Chopina 26, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;382;289;102
15;"Zespół Szkół Nr 10 im. prof. Janusza Groszkowskiego, ul. Fryderyka Chopina 26, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;425;343;125
16;"Zespół Szkół Nr 10 im. prof. Janusza Groszkowskiego, ul. Fryderyka Chopina 26, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;310;200;65
17;"Szkoła Podstawowa Nr 26 im. ""Rodła"", ul. Stanisława Ogórka 9, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;638;411;137
18;"Zespół Szkół Katolickich im. Ks. Jana Twardowskiego, ul. Tarnopolska 3, 41-807 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;521;307;78
19;"Rada Dzielnicy os. Młodego Górnika, ul. Młodego Górnika 2C, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;226;183;66
20;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 42 im. Mikołaja Kopernika, ul. Jurija Gagarina 2, 41-818 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;652;471;135
21;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 42 im. Mikołaja Kopernika, ul. Jurija Gagarina 2, 41-818 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;951;478;143
22;"Szkoła Podstawowa Nr 23 im. Tadeusza Kościuszki, ul. Johanna Pestalozziego 16, 41-819 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;331;213;65
23;"Szkoła Podstawowa Nr 23 im. Tadeusza Kościuszki, ul. Johanna Pestalozziego 16, 41-819 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;607;338;117
24;"Szkoła Podstawowa Nr 7 im. Stanisława Wyspiańskiego, ul. Pokoju 41, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;737;399;137
25;"Szkoła Podstawowa Nr 7 im. Stanisława Wyspiańskiego, ul. Pokoju 41, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;664;401;129
26;"Szkoła Podstawowa Nr 7 im. Stanisława Wyspiańskiego, ul. Pokoju 41, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;564;332;125
27;"Przedszkole Nr 7, ul. Wolności 215A, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;346;209;83
28;"Szkoła Podstawowa Nr 25 im. Jana Pawła II, ul. prof. Tadeusza Kotarbińskiego 18, 41-819 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;728;389;114
29;"Szkoła Podstawowa Nr 25 im. Jana Pawła II, ul. prof. Tadeusza Kotarbińskiego 18, 41-819 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;496;237;99
30;"Zespół Szkół Spożywczych im. Dr. Bronisława Hagera, ul. Franciszkańska 13, 41-819 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;756;447;152
31;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 14 im. Adama Mickiewicza, ul. Gdańska 10, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;698;399;141
32;"Przedszkole Nr 25, ul. Cieszyńska 33, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;651;423;145
33;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 14 im. Adama Mickiewicza, ul. Gdańska 10, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;349;211;84
34;"Przedszkole Nr 25, ul. Cieszyńska 33, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;495;414;132
35;"Zespół Szkół Ekonomiczno-Usługowych, pl. Plac Romualda Traugutta 1, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;281;174;38
36;"Zespół Szkół Ekonomiczno-Usługowych, pl. Plac Romualda Traugutta 1, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;362;208;89
37;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 8 im. Janusza Korczaka, ul. ks. Józefa Wajdy 7, 41-800 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;650;400;124
38;"Szkoła Podstawowa Nr 20 im. Polskich Himalaistów, ul. Jana Kasprowicza 7, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;331;232;91
39;"Szkoła Podstawowa Nr 21 im. Jurija Gagarina, ul. Bytomska 26, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;336;240;107
40;"Szkoła Podstawowa Nr 21 im. Jurija Gagarina, ul. Bytomska 26, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;479;331;131
41;"Szkoła Podstawowa Specjalna Nr 40, ul. Bytomska 94, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;316;249;98
42;"Szkoła Podstawowa Specjalna Nr 40, ul. Bytomska 94, 41-803 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;236;157;83
43;"Niepubliczna Szkoła Specjalna Przysposabiająca do Pracy w Zabrzu, ul. Wacława Karczewskiego 10, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;535;454;153
44;"Niepubliczna Szkoła Specjalna Przysposabiająca do Pracy w Zabrzu, ul. Wacława Karczewskiego 10, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;503;340;133
45;"Szkoła Podstawowa Nr 18 im. Powstańców Śląskich, ul. Olchowa 2, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;441;410;127
46;"Szkoła Podstawowa Nr 18 im. Powstańców Śląskich, ul. Olchowa 2, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;497;390;113
47;"Zespół Szkół Ogólnokształcących Nr 14, ul. ks. Doktora Antoniego Korczoka 98, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;581;416;133
48;"Zespół Szkół Ogólnokształcących Nr 14, ul. ks. Doktora Antoniego Korczoka 98, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;537;397;143
49;"Zespół Szkół Ogólnokształcących Nr 14, ul. ks. Doktora Antoniego Korczoka 98, 41-806 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;510;382;91
