"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Jerzy Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"CALIŃSKA-MAYER Małgorzata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZDROJEWSKA Barbara Grażyna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
294;"Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Maryi Nieustającej Pomocy, ul. Grunwaldzka 104, 50-357 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;1;20;4
304;"Dom Pomocy Społecznej, ul. Mączna 3, 54-131 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;5;40;16
305;"Dom Pomocy Społecznej ""Miłosierny Samarytanin"", ul. ks. Marcina Lutra 6, 54-239 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;7;6;6
306;"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka-Centrum Medycyny Ratunkowej, ul. gen. Augusta Emila Fieldorfa 2, 54-049 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;23;51;70
307;"Dom Pomocy Społecznej, ul. Rędzińska 66/68, 54-106 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;10;31;13
308;"Wojewódzki Szpital Specjalistyczny im. J. Gromkowskiego, ul. Koszarowa 5, 51-149 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;13;47;52
309;"Dom Pomocy Społecznej Arka i Arka 2, ul. Jutrosińska 29, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;4;9;3
310;"Wojewódzki Szpital Specjalistyczny we Wrocławiu, ul. Henryka Michała Kamieńskiego 73a, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;21;44;72
311;"Dolnośląskie Centrum Chorób Serca im. prof. Zbigniewa Religi-Medinet Sp. z o. o., ul. Henryka Michała Kamieńskiego 73a, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;6;14;8
312;"Bonifraterskie Centrum Medyczne Sp. z o. o.-Szpital Rehabilitacyjny we Wrocławiu (Provita), ul. Bierutowska 63, 51-317 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;5;20;26
313;"Dom Pomocy Społecznej dla Dorosłych Prowadzony przez Zgromadzenie Sióstr Maryi Niepokalanej, ul. Farna 3, 51-313 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;6;26;11
314;"Wojewódzki Szpital Specjalistyczny we Wrocławiu-Zamiejscowy Oddział Rehabilitacyjny, ul. Poświęcka 8, 51-128 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;6;32;51
315;"Vratislavia Medica Szpital im. Św. Jana Pawła II, ul. Lekarska 1, 51-134 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;3;22;24
316;"Dom Pomocy Społecznej, ul. Kaletnicza 8, 51-180 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;6;12;12
