"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PURPUROWICZ Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"PRUCNAL Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KALISZUK Ewa Monika - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ORZECHOWSKA Anna Maria - KW WIS";"STAROŃ Lidia Ewa - KWW LIDIA STAROŃ"
10;"Dom Pomocy Społecznej, ul. Kajki 49, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;4;4;7;3;7
11;"Oddział Zewnętrzny w Kikitach Zakładu Karnego w Barczewie, Kikity 21, 11-311 Kolno";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;2;2;19;4;9
1;"Szkoła Podstawowa w Jonkowie (Świetlica), ul. ks. Jana Hanowskiego 29, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;204;93;715;29;379
2;"Szkoła Podstawowa we Wrzesinie (hol na parterze), Wrzesina 43, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;116;51;338;24;328
3;"Szkoła Podstawowa w Nowym Kawkowie (Świetlica), Nowe Kawkowo 25, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;87;33;206;13;114
4;"Szkoła Podstawowa w Jonkowie-sala nr 1, ul. ks. Jana Hanowskiego 29, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;136;46;353;23;213
5;"Szkoła Podstawowa w Jonkowie sala nr 27, ul. ks. Jana Hanowskiego 29, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;88;41;357;7;123
6;"Dom Pomocy Społecznej w Jonkowie, ul. Lipowa 9, 11-042 Jonkowo";281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";1;1;12;1;5;0;8
1;"Gminny Ośrodek Kultury w Kolnie, Kolno 25b, 11-311 Kolno";281408;"gm. Kolno";"olsztyński";"warmińsko-mazurskie";1;1;86;25;137;12;163
2;"Biblioteka Publiczna Gminy Kolno z siedzibą w Lutrach, Lutry 12, 11-311 Kolno";281408;"gm. Kolno";"olsztyński";"warmińsko-mazurskie";1;1;111;30;114;12;204
3;"Gminny Ośrodek Kultury w Kolnie filia w Bęsi pn. ""Centrum Kultury w Bęsi"", Bęsia 24, 11-311 Kolno";281408;"gm. Kolno";"olsztyński";"warmińsko-mazurskie";1;1;91;12;79;5;189
1;"Miejska Biblioteka Publiczna w Olsztynku, parter, wejście od ul. Warszawskiej, inne Ratusz 1, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;66;21;203;9;136
2;"Miejski Dom Kultury w Olsztynku, ul. Chopina 29, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;71;40;167;8;128
3;"Szkoła Podstawowa nr 1 im. Noblistów Polskich w Olsztynku, Sala Nr 5, ul. Górna 5, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;90;40;210;5;214
4;"Przedszkole Miejskie w Olsztynku, ul. Szkolna 9, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;89;24;151;8;144
5;"I Liceum Ogólnokształcące w Olsztynku, ul. Klikowicza 4, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;96;43;156;4;150
6;"Miejski Ośrodek Pomocy Społecznej w Olsztynku, Stołówka na parterze, ul. Niepodległości 19, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;89;30;183;3;186
7;"Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. św. Jana Pawła II, ul. Pionierów 7, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;71;18;227;10;180
8;"Szkoła Podstawowa nr 1 im. Noblistów Polskich w Olsztynku, Sala Nr 16, ul. Górna 5, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;70;29;171;18;145
9;"Szkoła Filialna im. Erwina Kruka w Elgnówku, Elgnówko 27, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;35;6;32;3;48
10;"Świetlica w Mańkach, Mańki 5a, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;23;11;61;4;80
11;"Świetlica w Mierkach, Mierki 33a, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;55;31;153;11;138
12;"Świetlica w Nadrowie, Nadrowo 25, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;68;28;144;5;103
13;"Świetlica w Kunkach, Kunki 29, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;61;20;83;12;96
14;"Zespół Szkolno-Przedszkolny w Waplewie, Waplewo 15, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;83;17;177;7;150
15;"Świetlica w Królikowie, Królikowo 13a, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;42;11;73;7;100
16;"Świetlica w Pawłowie, Pawłowo 8a, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;57;9;59;4;72
17;"Świetlica w Gaju, Gaj 27, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;57;18;47;8;70
18;"Szkoła Podstawowa nr 2 im. rotmistrza Witolda Pileckiego w Olsztynku, wejście od alei prowadzącej na Podzamcze, korytarz przed salą gimnastyczną, ul. Ostródzka 2, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;44;15;48;8;59
19;"Świetlica w Jemiołowie, Jemiołowo 10c, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;47;17;61;8;51
20;"Świetlica w Lichtajnach, Lichtajny 5, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;30;12;52;9;61
21;"Dom Pomocy Społecznej „Zacisze”, ul. Park 5, 11-015 Olsztynek";281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";1;1;19;4;8;3;3
1;"Świetlica Wiejska w Purdzie, Purda 12B, 11-030 Purda";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;141;81;396;20;344
2;"Świetlica Wiejska w Giławach, Giławy 2C, 11-030 Purda";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;18;7;60;5;51
3;"Świetlica wiejska w Butrynach, Butryny 15, 10-687 Olsztyn";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;89;21;196;16;189
4;"Zespół Szkolno-Przedszkolny w Klebarku Wielkim, Klebark Wielki 9, 10-687 Olsztyn";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;122;62;448;13;263
5;"Świetlica Wiejska w Klewkach, Klewki 15, 10-687 Olsztyn";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;270;99;689;35;540
6;"Remiza Ochotniczej Straży Pożarnej w Nowej Wsi, Nowa Wieś 9A, 11-030 Purda";281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";1;1;62;25;178;2;134
1;"Zespół Szkolno-Przedszkolny w Stawigudzie, Budynek A, ul. Warszawska 5, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;162;85;826;18;286
2;"Zespół Szkolno-Przedszkolny w Stawigudzie, Budynek B, ul. Leśna 1, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;70;23;250;8;122
3;"Świetlica wiejska w Gryźlinach, Gryźliny ul. Spacerowa 8, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;49;19;145;6;133
4;"Klub w Dorotowie, Dorotowo 34, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;57;20;317;9;115
5;"Świetlica ""Dom Warmiński"" w Tomaszkowie, Tomaszkowo ul. Żurawia 3, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;74;33;397;8;98
6;"Przedszkole w Bartągu, Bartąg ul. Nad Łyną 57, 10-687 Olsztyn";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;148;128;712;26;365
7;"Szkoła Podstawowa w Rusi Filia w Bartągu, Parter (stołówka), Bartąg ul. Jeziorna 24, 10-687 Olsztyn";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;118;111;726;22;325
8;"Szkoła Podstawowa w Rusi Filia w Bartągu, I piętro (świetlica), Bartąg ul. Jeziorna 24, 10-687 Olsztyn";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;166;131;845;44;431
9;"Świetlica NAD ŁYNĄ w Rusi, Ruś 6, 10-687 Olsztyn";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;61;40;205;4;147
10;"Dom Opieki RAZEM, ul. Podleśna 1, 11-034 Stawiguda";281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";1;1;3;0;14;4;3
1;"Szkoła Podstawowa w Świątkach, Świątki 95, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;126;28;116;13;136
2;"Gminna Biblioteka Publiczna w Świątkach, Świątki 5a, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;117;28;127;19;117
3;"Świetlica Wiejska w Kwiecewie, Kwiecewo 25, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;60;29;79;17;114
4;"Świetlica Wiejska w Brzydowie, Brzydowo 52, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;33;12;42;4;55
5;"Świetlica Wiejska w Skolitach, Skolity 3a, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;64;14;76;4;104
6;"Świetlica Wiejska we Włodowie, Włodowo 46, 11-008 Świątki";281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";1;1;22;5;40;4;40
1;"Warsztaty Szkolne przy Zespole Szkół Nr 1, ul. Śląska 14, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;114;28;254;7;213
2;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 2 im. Wojciecha Kętrzyńskiego, ul. Wojciecha Kętrzyńskiego 6, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;102;38;282;6;155
3;"Zespół Szkół Nr 1 im. Stanisława Staszica, ul. Adama Mickiewicza 10, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;85;15;183;3;150
4;"Urząd Miejski w Szczytnie, ul. Henryka Sienkiewicza 1, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;74;22;142;7;100
5;"Sala Gimnastyczna Szkoły Podstawowej nr 3, ul. Walentego Barczewskiego 2A, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;112;29;240;11;286
6;"Szkoła Podstawowa Nr 6 im. Orła Białego, ul. Bohaterów Września 1939 r. 2, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;110;42;211;5;188
7;"Hala Widowiskowo-Sportowa im. Huberta Wagnera, ul. Jerzego Lanca 1, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;180;45;347;21;297
8;"Sportowa Szkoła Podstawowa Nr 4 im. Polskich Olimpijczyków, ul. Jerzego Lanca 1, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;134;41;315;12;289
9;"Zespół Szkół Nr 3 im. Jana III Sobieskiego, ul. Jerzego Lanca 10, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;212;43;312;12;337
10;"Miejskie Przedszkole Nr 1 „Bajka”, ul. Pasymska 21, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;157;58;259;18;247
11;"Centrum Rehabilitacyjno-Edukacyjne im. Jana Pawła II, ul. Pasymska 21 A, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;184;56;288;12;271
12;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 3 ""Promyczek"", ul. Pasymska 7, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;133;40;281;16;284
13;"Szkoła Podstawowa Nr 3 im. Marii Curie-Skłodowskiej, ul. Marii Curie-Skłodowskiej 2, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;188;56;393;14;321
14;"Powiatowy Urząd Pracy w Szczytnie, ul. Wincentego Pola 4, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;139;62;307;17;243
15;"Miejski Dom Kultury, ul. Polska 12, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;112;40;196;6;201
16;"Miejskie Przedszkole Nr 2 „Fantazja”, ul. Polska 42, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;118;76;250;16;173
17;"Przedszkole Niepubliczne „Jaś i Małgosia”, ul. Władysława IV 52 A, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;168;67;376;17;303
18;"Dom Pomocy Społecznej im. Jana Pawła II, ul. Wielbarska 2, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;14;1;5;5;4
19;"Zespół Opieki Zdrowotnej w Szczytnie, ul. Marii Curie-Skłodowskiej 12, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;4;2;5;0;12
20;"Oddział Zewnętrzny w Szczytnie Aresztu Śledczego w Olsztynie, ul. Henryka Sienkiewicza 10, 12-100 Szczytno";281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;7;3;57;6;11
1;"Gminny Ośrodek Kultury w Dźwierzutach, ul. Pasymska 2, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;89;40;149;15;203
2;"Urząd Gminy w Dźwierzutach, ul. Niepodległości 6, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;157;60;270;17;341
3;"Szkoła Podstawowa w Kałęczynie, Kałęczyn 17, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;54;19;45;7;101
4;"Świetlica Wiejska, Jabłonka 42, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;57;24;68;13;152
5;"Zespół Szkolno-Przedszkolny w Orzynach, Orzyny 34, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;72;42;118;17;169
6;"Szkoła Podstawowa w Rumach, Rumy 19, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;77;23;77;5;122
7;"Ochotnicza Straż Pożarna w Targowie, Targowo 53, 12-120 Dźwierzuty";281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";1;1;49;17;63;7;80
1;"Zespół Szkół w Jedwabnie, ul. Polna 1, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;128;32;244;28;242
2;"Gminny Ośrodek Kultury w Jedwabnie, ul. 1 Maja 63, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;91;29;151;21;130
3;"Budynek poszkolny w Burdągu, Burdąg 46, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;80;28;142;19;104
4;"Świetlica wiejska w Nowym Dworze, Nowy Dwór 37, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;45;8;42;6;39
5;"Świetlica wiejska Szuć, Szuć 9, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;18;6;35;8;54
6;"Świetlica wiejska Witowo, Witowo 20A, 12-122 Jedwabno";281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";1;1;26;9;31;5;55
1;"Szkoła Podstawowa, parter-sala 103, ul. Jana Pawła II 4, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;35;10;24;8;83
2;"Szkoła Podstawowa, parter-sala nr 104, ul. Jana Pawła II 4, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;30;22;81;5;61
3;"Szkoła Podstawowa, Grom 67, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;55;22;88;7;109
4;"Szkoła Podstawowa, Tylkowo 1, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;67;38;196;6;171
5;"Świetlica Wiejska, Grzegrzółki 11, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;29;9;63;3;80
6;"Remiza Strażacka, ul. Pocztowa 14, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;72;14;114;7;150
7;"Centrum Aktywizacji Społecznej KiS, ul. Dworcowa 8, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;85;30;141;6;199
8;"Szkoła Podstawowa, parter-sala 111 świetlica, ul. Jana Pawła II 4, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;92;24;199;6;169
9;"Świetlica Wiejska, Dybowo 28A, 12-130 Pasym";281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";1;1;34;13;27;2;66
1;"Sala sportowa przy Zespole Szkolno-Przedszkolnym w Dąbrowach, Dąbrowy 238, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;212;63;81;13;166
2;"Gminny Ośrodek Kultury w Rozogach, ul. Plac Jana Pawła II 1, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;155;52;166;22;328
3;"Sala sportowa przy Szkole Podstawowej im. Jana Pawła II w Rozogach, ul. Rynek 13, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;52;14;41;8;131
4;"Sala sportowa przy Zespole Szkolno-Przedszkolnym w Klonie, Klon 96, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;97;21;55;13;179
5;"Świetlica wiejska w Księżym Lasku, Księży Lasek 26, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;37;19;28;5;71
6;"Świetlica wiejska w Farynach, Faryny 51, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;44;8;26;4;90
7;"Świetlica wiejska w Spalinach Wielkich, Spaliny Wielkie 25a, 12-114 Rozogi";281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";1;1;52;10;34;7;103
1;"Świetlica wiejska w Lemanach, Lemany 36C, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;97;42;222;16;200
2;"Centrum Kulturalne Wsi Płozy, Płozy 31A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;31;20;114;9;79
3;"Świetlica wiejska w Leśnym Dworze, Leśny Dwór 54, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;29;6;117;3;64
4;"Świetlica wiejska w Kamionku (wejście A), Kamionek 5A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;38;19;97;6;73
5;"Gminne Przedszkole w Nowinach, Oddział Terenowy w Szczytnie, ul. Łomżyńska 3, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;58;19;113;12;108
6;"Świetlica wiejska w Lipowcu, Lipowiec 48B, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;85;24;66;6;187
7;"Szkoła Podstawowa w Szymanach, Szymany 21, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;91;13;70;9;95
8;"Szkoła Podstawowa w Olszynach, Olszyny 30, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;67;43;136;14;166
9;"Świetlica wiejska w Kamionku (wejście B), Kamionek 5A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;125;47;231;12;231
10;"Szkoła Podstawowa w Rudce, Rudka 10, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;122;68;294;21;288
11;"Niepubliczny Zespół Szkolno-Przedszkolny w Romanach, Romany 20B, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;49;11;68;4;122
12;"Świetlica wiejska w Lipowej Górze Wschodniej, Lipowa Góra Wschodnia 18BG, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;60;42;132;12;151
13;"Świetlica wiejska w Wawrochach, Wawrochy 12, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;39;14;37;11;101
14;"Świetlica wiejska w Nowym Gizewie, Nowe Gizewo 16EA, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;103;37;282;14;188
15;"Świetlica wiejska w Dębówku, Dębówko 2A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;34;12;60;3;65
16;"Świetlica wiejska w Korpelach, Korpele 29T, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;62;16;94;8;85
17;"Świetlica wiejska w Gawrzyjałkach, Gawrzyjałki 18A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;64;26;37;13;105
18;"Świetlica wiejska w Nowinach, Nowiny 30A, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;30;5;49;9;71
19;"Świetlica wiejska w Wałach, Wały 30, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;26;8;26;1;70
20;"Świetlica wiejska w Trelkowie, Trelkowo 17, 12-100 Szczytno";281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";1;1;58;13;45;7;90
1;"Gminny Ośrodek Kultury w Świętajnie, ul. Młodzieżowa 2, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;171;51;215;12;286
2;"Szkoła Podstawowa w Świętajnie, ul. Młodzieżowa 2, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;38;7;47;1;62
3;"Szkoła Podstawowa w Spychowie, ul. Mazurska 5, 12-150 Spychowo";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;144;43;274;12;211
4;"Szkoła Podstawowa w Jerutach, Jeruty 41, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;98;45;65;10;184
5;"Szkoła Podstawowa w Kolonii, Kolonia 71, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;94;23;75;11;114
6;"Środowiskowy Dom Samopomocy w Piasutnie, Piasutno 63, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;60;25;134;4;76
7;"Świetlica wiejska w Jerutkach, Jerutki 21, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;47;16;57;3;72
8;"Świetlica wiejska w Długim Borku, Długi Borek 23, 12-140 Świętajno";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;38;11;19;4;45
9;"Dom Pomocy Społecznej w Szczytnie Filia w Spychowie, ul. Sienkiewicza 3, 12-150 Spychowo";281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";1;1;1;1;1;1;3
1;"Szkoła Podstawowa im. Królowej Jadwigi w Wielbarku (świetlica), ul. Mikołaja Kopernika 10, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;123;31;189;20;182
2;"Szkoła Podstawowa im. Królowej Jadwigi w Wielbarku (sala Nr 3), ul. Mikołaja Kopernika 10, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;127;55;116;12;147
3;"Urząd Miejski w Wielbarku, ul. Grunwaldzka 2, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;153;52;98;24;182
4;"Gminny Ośrodek Kultury w Wielbarku, ul. Wojciecha Kętrzyńskiego 13, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;114;48;165;21;224
5;"Szkoła Podstawowa im. Orła Białego w Zabielach, Zabiele 4, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;62;14;36;7;105
6;"Świetlica Wiejska w Lesinach Wielkich, Lesiny Wielkie 18c, 12-160 Wielbark";281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";1;1;125;42;78;13;214
1;"II Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego, ul. Roberta i Karola Małłków 3, 10-113 Olsztyn";286201;"m. Olsztyn";"Olsztyn";"warmińsko-mazurskie";1;1;80;36;312;15;160
2;"I Liceum Ogólnokształcące im. A. Mickiewicza sala nr 109 (parter), ul. Adama Mickiewicza 6, 10-551 Olsztyn";286201;"m. Olsztyn";"Olsztyn";"warmińsko-mazurskie";1;1;62;30;238;6;88
3;"I Liceum Ogólnokształcące im. A. Mickiewicza, sala gimnastyczna (oddzielny budynek obok głównego budynku szkoły), ul. Adama Mickiewicza 6, 10-551 Olsztyn";286201;"m. Olsztyn";"Olsztyn";"warmińsko-mazurskie";1;1;121;41;295;11;171
4;"Specjalny Ośrodek Szkolno-Wychowawczy, im. Kornela Makuszyńskiego, al. Aleja Marszałka Józefa Piłsudskiego 42, 10-450 Olsztyn";286201;"m. Olsztyn";"Olsztyn";"warmińsko-mazurskie";1;1;103;36;286;10;196
